ID,smiles
DB0001,O=C(O)CCCC[C@@H]1CCSS1
DB0002,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
DB0003,CN1CCC[C@H]1c1cccnc1
DB0004,CC1O[C@@]2(CS1)CN1CCC2CC1
DB0005,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
DB0006,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
DB0007,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
DB0008,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DB0009,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
DB0010,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
DB0011,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
DB0012,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DB0013,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
DB0014,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
DB0015,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
DB0016,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
DB0017,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
DB0018,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
DB0019,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
DB0020,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
DB0021,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
DB0022,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
DB0023,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
DB0024,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
DB0025,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
DB0026,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
DB0027,Nc1c2c(nc3ccccc13)CCCC2
DB0028,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1
DB0029,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
DB0030,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
DB0031,CN(C)CCCN1c2ccccc2Sc2ccccc21
DB0032,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2
DB0033,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
DB0034,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
DB0035,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB0036,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB0037,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
DB0038,CC(CNC1CCCCC1)OC(=O)c1ccccc1
DB0039,Brc1c(NC2=NCCN2)ccc2nccnc12
DB0040,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
DB0041,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
DB0042,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1
DB0043,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
DB0044,O=P1(N(CCCl)CCCl)NCCCO1
DB0045,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
DB0046,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
DB0047,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O
DB0048,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
DB0049,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
DB0050,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC
DB0051,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
DB0052,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
DB0053,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DB0054,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
DB0055,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
DB0056,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
DB0057,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
DB0058,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O
DB0059,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
DB0060,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
DB0061,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
DB0062,Clc1ccc2nsnc2c1NC1=NCCN1
DB0063,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
DB0064,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
DB0065,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
DB0066,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12
DB0067,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
DB0068,c1ccc2[nH]c(-c3cscn3)nc2c1
DB0069,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
DB0070,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
DB0071,NC1=NCC2c3ccccc3Cc3ccccc3N12
DB0072,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
DB0073,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
DB0074,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
DB0075,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
DB0076,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
DB0077,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
